score_number,user_id,user_country_code,beatmap_id,last_updated,artist,title,difficulty,bpm,od,ar,cs,hp,length,drain_length,beatmap_mode,mapper,mapper_user_id,mapper_country_code,score_id,time,score,max_combo,rank,count_50,count_100,count_300,count_miss,mods,pp,replay
75,6715645,US,1382895,2017-09-23 05:40:27,Inori Minase,Aimaimoko,Confession,133,8.5,8.2,4,6,0:57,0:56,osu,Saileach,5174427,AU,3135775192,2020-06-25 18:00:36,1905604,252,SH,0,1,205,0,HDDT,318.648,True
76,6715645,US,3848610,2022-12-02 07:25:39,*NSYNC,Bye Bye Bye,Puppet,86.28,8,8.8,4,5,3:16,3:00,osu,MBmasher,4498616,AU,4333793529,2022-12-10 21:08:34,13988081,884,XH,0,0,536,0,HDDT,318.269,True
77,6715645,US,811750,2015-11-22 21:44:51,Nakajima Dai,Bokura no Jikan,Photosynthesis,136,7.5,8.8,5,6,0:51,0:50,osu,Voli,2522275,NL,3730249339,2021-06-20 21:25:50,2597376,311,SH,0,2,225,0,HDDT,317.861,True
78,6715645,US,852986,2019-04-11 16:22:54,LU-I,wistaria,Salvation,185,8.2,9.3,4,6.1,5:32,5:16,osu,neonat,1561995,SG,3073401411,2020-05-03 02:29:14,92971706,2089,SH,0,13,1406,0,HD,317.824,True
79,6715645,US,711778,2015-10-07 17:04:35,Okui Masami,TREASURE BOX,Insane,162,7,8.7,4,7,1:30,1:27,osu,kunka,1741295,JP,3179781768,2020-08-01 00:48:26,4617607,467,XH,0,0,337,0,HDDT,317.12,True
80,6715645,US,30100,2009-07-04 15:16:30,Lady GaGa ft. Akon & Colby O'Donis,Just Dance,0_o,119,8,8,4,6,3:56,3:32,osu,Paulo8624,76262,BR,4008163501,2021-12-30 01:50:03,9271561,654,SH,0,2,482,0,HDDT,316.695,True
81,6715645,US,192530,2014-08-29 04:59:49,Tarja,Until My Last Breath,Shiro's Insane,127,7,8,4,6,3:48,3:14,osu,Shiro,113005,FR,4080917383,2022-02-28 06:28:53,15129947,844,XH,0,0,602,0,HDDT,316.233,True
82,6715645,US,279757,2013-10-17 21:33:30,Perfume,Laser Beam,Insane,135,8,8,4,7,3:27,3:14,osu,Raging Bull,398760,GU,4080959893,2022-02-28 07:43:57,18459227,896,SH,1,12,576,0,HDDT,316.082,True
83,6715645,US,151017,2012-05-28 11:32:08,Horie Yui,Hikari (TV Size),D.N.Angel,144,7,8,4,6,1:29,1:29,osu,DarknessAngel,353437,TW,3972176786,2021-12-01 01:39:33,4241377,481,XH,0,0,311,0,HDDT,315.387,True
84,6715645,US,94850,2011-05-20 23:33:40,Bruno Mars,Marry You,Married!,145,7,8,4,8,3:18,3:05,osu,dkun,154400,US,4082491375,2022-03-01 18:50:14,12043467,665,XH,0,0,510,0,HDDT,315.358,True
85,6715645,US,2704397,2021-08-22 18:50:35,Empyre One,Moonlight Shadow (Dance 2 Disco Remix),Insane,138,7,8.5,4.2,6,2:22,2:14,osu,[Akito],2582058,DE,4321530874,2022-11-23 00:41:05,6037891,539,XH,0,0,384,0,HDDT,315.083,True
86,6715645,US,910913,2016-07-22 06:59:07,Goose house,Hikaru nara -TV size-,Deppy's Insane,160,7,8.5,4,7,1:28,1:27,osu,Deppyforce,5286213,TH,3182508607,2020-08-03 04:03:15,4154110,438,XH,0,0,321,0,HDDT,315.053,True
87,6715645,US,1462348,2018-05-15 05:57:50,Yorushika,Fireworks of shoes,Finding you,120,7.2,8.2,3.8,6,5:01,5:00,osu,Rieri,5379679,KR,4081728360,2022-03-01 00:53:54,36932493,1388,SH,1,3,907,0,HDDT,314.749,True
88,6715645,US,174644,2012-10-08 11:53:50,fripSide,fortissimo -the ultimate crisis-,Insane,145.53,7,8,4,7,2:53,2:43,osu,Kuria,870067,ID,4076238396,2022-02-24 03:47:09,11415020,771,XH,0,0,503,0,HDDT,314.325,True
89,6715645,US,235949,2013-09-22 09:16:29,Haruna Luna,Overfly,Natsu's Insane,134,7,8,4,7,4:19,3:41,osu,Natsu,1953876,SV,3105977935,2020-06-01 02:45:42,23733867,1084,SH,0,5,735,0,HDDT,314.162,True
90,6715645,US,658350,2015-04-22 07:51:46,TRUSTRICK,FLYING FAFNIR,Insane,143,7,8,4,6,3:50,3:43,osu,Iceskulls,1409012,TH,4195376707,2022-06-20 01:15:42,23285022,1112,SH,0,1,717,0,HDDT,314.155,True
91,6715645,US,923254,2016-10-22 14:33:14,HoneyWorks,Tokyo Summer Session feat. CHiCO,NiNo's Insane,160,7.3,8.3,4,6,3:44,3:39,osu,SnowNiNo_,2506267,TW,3204583280,2020-08-20 02:54:03,18433874,1009,SH,0,4,644,0,HDDT,314.075,True
92,6715645,US,451406,2015-05-02 18:37:47,FELT,Hail Storm (MZC A BraneWalker House Remix),Fubuki,134,7,8.2,4,6,6:49,5:54,osu,Kinshara,3552507,US,3659448872,2021-05-14 06:05:13,54996064,1685,A,0,3,1220,1,HDDT,314.033,True
93,6715645,US,1315459,2017-09-24 11:44:06,KOTOKO,Koi Kou Enishi,Insane,144,7.5,8.4,3.8,6,1:43,1:41,osu,Crystal,1646397,CN,3177333819,2020-07-30 04:20:15,5066779,485,SH,0,8,360,0,HDDT,313.776,True
94,6715645,US,202217,2013-03-08 02:52:55,HHHxMMxST,Oboro,Kotone's Insane,149,6,8,4,7,3:11,3:00,osu,Kotone,26507,HK,3646835923,2021-05-07 22:31:18,16616184,908,SH,1,3,634,0,HDDT,313.667,True
95,6715645,US,153896,2012-05-30 09:14:31,Perfume,Communication (Short Ver.),Pie's Insane,115,7,8,4,7,2:08,1:58,osu,Poggo,1367296,RU,4096132050,2022-03-14 06:23:10,5735398,494,XH,0,0,403,0,HDDT,313.419,True
96,6715645,US,134269,2012-02-07 10:24:27,Saitou Chiwa,Futakotome (TV Size),Insane,132,8,8,4,7,1:29,1:29,osu,Colin Hou,196614,CN,4335349452,2022-12-13 03:03:43,5509808,470,XH,0,0,317,0,HDDT,313.351,True
97,6715645,US,1010030,2017-01-19 21:36:25,Mili,world.execute(me);,mapset.insane(Exile-);,130,7.5,8.4,4,6,3:27,3:00,osu,Exile-,2559349,PL,4117593165,2022-04-03 06:36:07,10980720,708,SH,0,2,522,0,HDDT,313.041,True
98,6715645,US,114442,2011-11-12 18:38:04,eufonius,Aletheia (Short ver.),Kana,150.5,7,8,4,8,1:54,1:54,osu,KanaRin,310747,HK,4117635154,2022-04-03 07:39:18,7214989,555,XH,0,0,370,0,HDDT,313.015,True
99,6715645,US,816627,2015-11-12 19:37:06,Paramore,Still Into You,_vanity's Insane,136,7,8,4,7,3:33,3:08,osu,_vanity,2857130,MX,4082476179,2022-03-01 18:32:57,13769419,788,XH,0,0,596,0,HDDT,312.796,True
100,6715645,US,4111114,2023-05-21 08:38:06,Shimamiya Eiko,Uchuu no Hana,Present,74,7,8.5,4,6,5:21,4:55,osu,Narcissu,1826598,CN,4447966722,2023-06-01 15:28:19,31567870,1233,SH,0,6,874,0,HDDT,311.853,True
