score_number,user_id,beatmap_id,artist,title,difficulty,score_id,time,score,max_combo,rank,count_50,count_100,count_300,count_miss,mods,pp,replay
78,13473514,2964230,DM DOKURO,SAVE (Encore),Extreme,4021841324,2022-01-10 02:35:12,3870253,395,A,0,17,340,8,HDNC,293.207,False
79,13473514,2237470,yuikonnu,Yume Chizu,Insane,3903217186,2021-10-10 20:01:27,4848508,515,SH,0,5,314,0,HDDT,291.481,False
80,13473514,808848,WEAVER,Kuchizuke Diamond,Lemur,4194345108,2022-06-18 23:18:02,3115813,354,A,0,13,328,4,DT,290.687,False
81,13473514,1993380,"Hikasa Youko, Uchida Maaya, Taketatsu Ayana, Akesaka Satomi",Gokujo. no Jouken (TV Size),Azunyan's Extra,4055025456,2022-02-05 22:18:49,331140,108,A,0,7,117,1,HDDT,290.46,False
82,13473514,3010178,THE ORAL CIGARETTES,ReI,Reflection,3904464053,2021-10-11 18:52:20,36462230,1265,A,0,35,1101,2,None,290.21,False
83,13473514,2444149,SPYAIR,Imagination (TV Size),Extra,4167645600,2022-05-22 05:31:37,1916908,255,A,0,11,305,3,HDDT,288.96,False
84,13473514,3651245,Baracuda,La Di Da (Nightcore & Cut Ver.),Expert,4202874466,2022-06-28 01:49:54,1643460,278,A,0,14,188,1,HDDT,285.382,True
85,13473514,2450629,Nogizaka46,Yubi Bouenkyou,Reform's Another,3929503557,2021-10-29 23:59:44,5301308,517,A,1,15,471,3,HDDT,284.852,False
86,13473514,1159687,yuikonnu,Heart no Atoaji,Heart,3738497898,2021-06-25 17:50:32,26427020,1098,A,0,17,803,3,None,284.542,False
87,13473514,2518844,Bowling For Soup,Today is Gonna be a Great Day (TV Size),Insane,3919869944,2021-10-23 03:32:05,978852,227,SH,0,3,148,0,HDDT,282.913,True
88,13473514,2742961,Parry Gripp,I Wanna Guinea Pig For Christmas,SMOKELIND's Insane,3756819700,2021-07-06 20:18:09,1558224,282,SH,0,9,183,0,HDDT,282.355,True
89,13473514,2317225,Yorushika,Aruku,Extreme,4239147315,2022-08-06 18:47:57,16679230,797,A,0,6,993,2,None,281.067,False
90,13473514,1649842,THE ORAL CIGARETTES,ReI,Cataclysm,4201979137,2022-06-27 02:27:32,5411795,473,A,0,18,402,1,HR,280.722,False
91,13473514,2480902,Suzuki Konomi,Realize (TV Size),Grasp of the Undying,4117284215,2022-04-02 22:51:22,4346063,428,S,0,6,351,0,HR,280.385,False
92,13473514,2684855,EDOGA-SULLIVAN,WONDERFUL WONDER (TV Size),Insane,3800118556,2021-08-02 02:16:46,1503822,270,SH,0,4,182,0,HDDT,279.793,False
93,13473514,1956123,DJ Fresh,Gold Dust,Reform's Expert,3922508699,2021-10-24 20:27:47,2184077,321,SH,0,8,295,0,HDNC,279.382,False
94,13473514,1385398,Panda Eyes,ILY,Fanteer's Final Level,4371694858,2023-02-02 23:43:37,3277498,427,A,0,6,376,3,None,278.73,False
95,13473514,1855427,Nanamori-chu * Goraku-bu,Acchu~ma Seishun! (TV Size),SMOKELIND's Insane,3903245584,2021-10-10 20:26:21,4063629,449,A,1,18,340,1,HDDT,277.869,False
96,13473514,2473353,Nogizaka46,Yubi Bouenkyou (TV Size),Hooni's Insane,3919842740,2021-10-23 03:03:36,3638044,438,SH,0,4,281,0,HDDT,277.662,True
97,13473514,2619743,Wakeshima Kanon,killy killy JOKER (TV Size),Reform's Extra,4331806428,2022-12-08 02:19:03,2043546,295,A,0,21,290,4,HDDT,277.466,False
98,13473514,2118443,S3RL,Bass Slut (Original Mix),Reform's Filthy Expert,3531180667,2021-03-14 04:17:37,4715671,492,XH,0,0,339,0,HDHR,276.987,False
99,13473514,2330357,Colors*Slash,Colors Power ni Omakasero!,Mitsuboshi Jump!,3891891978,2021-10-02 16:31:43,27809218,1130,A,0,11,937,5,HR,276.067,False
100,13473514,1626537,Nanamori-chu * Goraku-bu,Happy Time wa Owaranai,Sotarks' Peace of Mind,3855116208,2021-09-06 22:21:43,5653396,518,A,0,6,523,2,HR,276.004,False
